IPK,Semester,Jurusan,Pernah_Mengulang,Pendapatan_Orang_Tua,Pekerjaan_Orang_Tua,Jumlah_Tanggungan,Status_Tempat_Tinggal,Asal_Daerah,Aktif_Organisasi,Jumlah_Kegiatan_Relawan,Pengalaman_Magang,Skor_Motivasi_Tertulis,Surat_Rekomendasi,Pernah_Mendapat_Beasiswa,Skor_Keaktifan_Kampus,Rekam_Ketidakhadiran,Pernah_Melawan_Hukum,Jenis_Kelamin,Skor_Literasi_Finansial,Status_Kelayakan,Jumlah_Beasiswa_Per_Semester
2.79,3,Sastra,Tidak,5631265,Karyawan Swasta,3,Kontrak,Pedesaan,Ya,2,Ya,80,Ada,Ya,62,0,Ya,Perempuan,62,Tidak Layak,0
3.21,7,Ekonomi,Tidak,6760332,Karyawan Swasta,4,Kontrak,Perkotaan,Ya,3,Tidak,57,Tidak,Ya,62,13,Tidak,Perempuan,65,Tidak Layak,0
2.89,8,Pendidikan,Tidak,6964817,Karyawan Swasta,6,Milik Sendiri,Pedesaan,Ya,2,Tidak,93,Ada,Ya,66,19,Tidak,Laki-laki,32,Tidak Layak,0
3.61,4,Hukum,Ya,2048634,Wirausaha,6,Kontrak,Pedesaan,Ya,0,Tidak,62,Tidak,Ya,77,8,Tidak,Perempuan,75,Layak,4583513
3.24,7,Manajemen,Ya,6277952,Tidak Bekerja,2,Kontrak,Perkotaan,Tidak,3,Tidak,50,Ada,Tidak,50,3,Tidak,Perempuan,67,Tidak Layak,0
3.69,7,Sastra,Tidak,3362767,Pedagang,3,Milik Sendiri,Perkotaan,Ya,1,Tidak,57,Tidak,Ya,61,6,Tidak,Laki-laki,97,Layak,3609646
2.72,5,Ekonomi,Tidak,2331995,Tidak Bekerja,6,Milik Sendiri,3T,Ya,0,Ya,71,Ada,Ya,80,15,Tidak,Laki-laki,1,Tidak Layak,0
3.24,1,Sastra,Tidak,621243,Wirausaha,5,Milik Sendiri,3T,Ya,0,Ya,83,Tidak,Tidak,80,10,Tidak,Perempuan,47,Tidak Layak,0
2.93,6,Pendidikan,Tidak,6560108,Wirausaha,4,Kontrak,Perkotaan,Tidak,2,Tidak,50,Tidak,Tidak,96,4,Ya,Laki-laki,67,Tidak Layak,0
2.83,5,Kedokteran,Tidak,8472523,Buruh,4,Menumpang,3T,Tidak,2,Ya,73,Ada,Tidak,93,14,Tidak,Perempuan,51,Tidak Layak,0
3.23,2,Pendidikan,Tidak,8488000,Wirausaha,6,Milik Sendiri,Perkotaan,Ya,1,Tidak,83,Ada,Ya,81,2,Tidak,Perempuan,21,Tidak Layak,0
3.64,8,Manajemen,Tidak,9570902,Pedagang,2,Milik Sendiri,3T,Tidak,5,Ya,77,Ada,Ya,70,12,Tidak,Laki-laki,92,Layak,4161144
3.44,8,Manajemen,Tidak,9468148,Wirausaha,6,Kontrak,3T,Tidak,1,Tidak,99,Ada,Tidak,74,12,Tidak,Perempuan,29,Tidak Layak,0
3.69,4,Sastra,Ya,1971032,Petani,1,Kontrak,Perkotaan,Tidak,5,Tidak,86,Tidak,Ya,70,12,Tidak,Laki-laki,39,Layak,2519128
3.26,4,Ekonomi,Tidak,5862719,Tidak Bekerja,3,Menumpang,Perkotaan,Ya,5,Tidak,64,Ada,Tidak,50,17,Tidak,Perempuan,18,Tidak Layak,0
2.99,5,Kedokteran,Tidak,8146795,Pedagang,5,Kontrak,3T,Tidak,5,Ya,70,Tidak,Ya,67,18,Tidak,Laki-laki,63,Tidak Layak,0
3.34,5,Ekonomi,Ya,6089238,Pedagang,6,Milik Sendiri,Perkotaan,Tidak,1,Tidak,53,Ada,Tidak,96,12,Tidak,Laki-laki,2,Tidak Layak,0
2.89,7,Pendidikan,Tidak,8442696,Pegawai Negeri,4,Kontrak,3T,Tidak,2,Tidak,62,Tidak,Ya,58,10,Tidak,Laki-laki,90,Tidak Layak,0
2.67,5,Pertanian,Tidak,2807889,Karyawan Swasta,6,Kontrak,Pedesaan,Ya,1,Tidak,62,Ada,Tidak,96,18,Tidak,Laki-laki,48,Tidak Layak,0
2.76,7,Hukum,Tidak,2111413,Pegawai Negeri,4,Milik Sendiri,Perkotaan,Ya,4,Tidak,87,Tidak,Ya,90,12,Tidak,Laki-laki,30,Tidak Layak,0
2.34,7,Pertanian,Tidak,3393851,Wirausaha,6,Kontrak,Perkotaan,Tidak,5,Tidak,99,Tidak,Tidak,67,20,Tidak,Perempuan,1,Tidak Layak,0
3.02,2,Manajemen,Ya,8707723,Wirausaha,6,Menumpang,Pedesaan,Ya,4,Tidak,94,Ada,Ya,74,15,Tidak,Perempuan,38,Layak,6793444
3.67,3,Manajemen,Tidak,9517939,Pedagang,4,Menumpang,3T,Ya,4,Tidak,83,Tidak,Ya,83,18,Tidak,Laki-laki,96,Layak,3740332
2.72,2,Hukum,Tidak,3518851,Petani,5,Kontrak,Perkotaan,Ya,1,Tidak,91,Ada,Ya,85,8,Tidak,Laki-laki,10,Tidak Layak,0
3.06,2,Sastra,Tidak,9633971,Pedagang,4,Menumpang,3T,Ya,4,Tidak,68,Tidak,Ya,86,15,Tidak,Perempuan,77,Tidak Layak,0
4,4,Manajemen,Tidak,1250538,Pedagang,1,Milik Sendiri,3T,Tidak,1,Tidak,88,Ada,Tidak,67,4,Tidak,Perempuan,9,Layak,6612464
3.08,5,Sastra,Tidak,3240044,Karyawan Swasta,4,Milik Sendiri,Perkotaan,Tidak,5,Ya,63,Ada,Tidak,90,20,Tidak,Perempuan,72,Tidak Layak,0
3.05,3,Ekonomi,Tidak,5807645,Tidak Bekerja,4,Kontrak,3T,Tidak,0,Ya,84,Ada,Tidak,54,10,Tidak,Perempuan,42,Tidak Layak,0
2.8,5,Hukum,Tidak,4287716,Pegawai Negeri,1,Milik Sendiri,Pedesaan,Tidak,3,Tidak,100,Ada,Ya,83,9,Tidak,Perempuan,12,Tidak Layak,0
3.4,6,Sastra,Tidak,2162054,Petani,2,Kontrak,Perkotaan,Ya,2,Tidak,93,Tidak,Tidak,87,4,Tidak,Laki-laki,84,Layak,3060054
3.22,3,Ekonomi,Tidak,4985722,Petani,6,Menumpang,Perkotaan,Tidak,1,Tidak,76,Tidak,Ya,78,11,Tidak,Perempuan,35,Tidak Layak,0
3.31,7,Kedokteran,Tidak,1958649,Pegawai Negeri,4,Kontrak,Perkotaan,Tidak,0,Tidak,55,Ada,Ya,55,9,Tidak,Perempuan,1,Tidak Layak,0
2.88,7,Hukum,Tidak,9140458,Wirausaha,6,Menumpang,Perkotaan,Ya,4,Ya,97,Ada,Tidak,94,17,Tidak,Laki-laki,94,Layak,7546330
2.92,1,Pertanian,Tidak,9283147,Pedagang,2,Milik Sendiri,Pedesaan,Ya,2,Tidak,77,Tidak,Tidak,60,11,Tidak,Perempuan,86,Tidak Layak,0
3.17,4,Manajemen,Tidak,8605487,Pegawai Negeri,3,Milik Sendiri,3T,Tidak,3,Ya,69,Ada,Tidak,89,15,Tidak,Laki-laki,78,Tidak Layak,0
2.95,8,Pendidikan,Tidak,2297914,Petani,3,Menumpang,3T,Ya,0,Tidak,62,Ada,Ya,76,3,Tidak,Laki-laki,19,Tidak Layak,0
3.08,5,Kedokteran,Tidak,6779870,Pegawai Negeri,3,Kontrak,Perkotaan,Ya,2,Ya,78,Tidak,Ya,58,11,Tidak,Laki-laki,45,Tidak Layak,0
3.58,4,Manajemen,Ya,1175388,Pedagang,4,Kontrak,Perkotaan,Tidak,1,Tidak,80,Tidak,Ya,76,15,Tidak,Laki-laki,41,Tidak Layak,0
2.61,7,Ekonomi,Ya,2309919,Tidak Bekerja,1,Milik Sendiri,3T,Ya,5,Ya,93,Tidak,Tidak,88,0,Tidak,Perempuan,36,Tidak Layak,0
3.15,8,Manajemen,Tidak,4656509,Buruh,2,Menumpang,Pedesaan,Ya,0,Tidak,94,Ada,Tidak,62,15,Tidak,Laki-laki,89,Layak,6213882
3.6,3,Kedokteran,Tidak,2995209,Pedagang,1,Milik Sendiri,Pedesaan,Ya,1,Tidak,77,Ada,Ya,55,1,Tidak,Perempuan,89,Layak,7312589
3.68,4,Kedokteran,Tidak,8539562,Petani,5,Kontrak,Perkotaan,Ya,2,Ya,72,Tidak,Ya,70,1,Tidak,Laki-laki,6,Tidak Layak,0
3.07,6,Kedokteran,Tidak,5200293,Buruh,1,Kontrak,3T,Tidak,2,Ya,57,Ada,Ya,93,17,Tidak,Laki-laki,42,Tidak Layak,0
2.98,6,Pendidikan,Tidak,9372833,Buruh,3,Milik Sendiri,Perkotaan,Ya,3,Ya,56,Ada,Ya,52,18,Tidak,Laki-laki,24,Tidak Layak,0
3.36,8,Manajemen,Ya,9670074,Buruh,3,Kontrak,Perkotaan,Tidak,1,Tidak,59,Ada,Ya,62,13,Tidak,Perempuan,97,Tidak Layak,0
2.8,6,Pendidikan,Tidak,2470130,Karyawan Swasta,1,Kontrak,Pedesaan,Tidak,4,Tidak,60,Tidak,Ya,68,1,Tidak,Laki-laki,88,Tidak Layak,0
3.19,4,Ekonomi,Tidak,9433361,Tidak Bekerja,5,Milik Sendiri,3T,Tidak,3,Tidak,74,Tidak,Tidak,63,5,Ya,Laki-laki,75,Tidak Layak,0
2.72,1,Pertanian,Tidak,9309266,Pegawai Negeri,3,Milik Sendiri,Pedesaan,Ya,0,Ya,52,Ada,Tidak,52,20,Tidak,Perempuan,17,Tidak Layak,0
3.18,5,Teknik Informatika,Tidak,4677662,Tidak Bekerja,2,Menumpang,3T,Tidak,5,Tidak,73,Tidak,Ya,95,17,Tidak,Laki-laki,52,Tidak Layak,0
2.65,5,Pendidikan,Tidak,674620,Tidak Bekerja,3,Milik Sendiri,Perkotaan,Ya,2,Tidak,84,Ada,Tidak,91,8,Tidak,Laki-laki,56,Layak,3850854
2.55,6,Sastra,Tidak,7134775,Pedagang,4,Milik Sendiri,Perkotaan,Ya,1,Tidak,55,Tidak,Ya,79,5,Tidak,Laki-laki,24,Tidak Layak,0
2.96,8,Hukum,Tidak,853115,Pegawai Negeri,2,Milik Sendiri,Perkotaan,Tidak,1,Ya,54,Tidak,Ya,79,20,Tidak,Laki-laki,92,Tidak Layak,0
3.93,3,Teknik Informatika,Tidak,6839692,Karyawan Swasta,1,Milik Sendiri,Perkotaan,Tidak,5,Tidak,58,Ada,Ya,67,4,Tidak,Laki-laki,1,Tidak Layak,0
3.16,2,Pendidikan,Tidak,1925479,Pedagang,2,Kontrak,Perkotaan,Tidak,1,Ya,80,Ada,Ya,53,17,Tidak,Laki-laki,2,Layak,2373509
3.57,2,Sastra,Ya,7467320,Pedagang,1,Milik Sendiri,3T,Ya,1,Ya,68,Ada,Tidak,93,3,Tidak,Laki-laki,28,Tidak Layak,0
2.72,2,Sastra,Tidak,6098972,Petani,3,Milik Sendiri,Perkotaan,Tidak,1,Tidak,71,Ada,Tidak,59,9,Tidak,Perempuan,44,Tidak Layak,0
3.23,2,Sastra,Tidak,6692680,Pegawai Negeri,6,Milik Sendiri,Perkotaan,Tidak,1,Tidak,59,Tidak,Ya,74,14,Tidak,Perempuan,8,Tidak Layak,0
3.29,2,Ekonomi,Tidak,5172054,Pedagang,1,Kontrak,Perkotaan,Ya,3,Ya,81,Tidak,Tidak,94,13,Tidak,Perempuan,17,Tidak Layak,0
3.02,4,Ekonomi,Tidak,8839992,Buruh,5,Kontrak,Pedesaan,Tidak,3,Ya,95,Tidak,Ya,94,2,Tidak,Laki-laki,26,Tidak Layak,0
2.88,1,Pendidikan,Tidak,2741313,Petani,1,Kontrak,Pedesaan,Tidak,1,Ya,59,Tidak,Ya,63,7,Tidak,Laki-laki,15,Tidak Layak,0
3.72,3,Ekonomi,Tidak,7625430,Pegawai Negeri,1,Menumpang,3T,Ya,3,Tidak,60,Ada,Ya,73,4,Tidak,Laki-laki,1,Tidak Layak,0
3.47,7,Hukum,Tidak,8381344,Wirausaha,2,Menumpang,Pedesaan,Tidak,3,Tidak,71,Tidak,Ya,68,3,Tidak,Laki-laki,77,Tidak Layak,0
3.66,3,Hukum,Ya,7607177,Wirausaha,4,Menumpang,Perkotaan,Ya,4,Tidak,95,Ada,Tidak,60,8,Tidak,Perempuan,16,Layak,3777246
3.31,7,Teknik Informatika,Tidak,3581870,Tidak Bekerja,6,Menumpang,Perkotaan,Ya,5,Tidak,70,Tidak,Tidak,60,1,Tidak,Perempuan,24,Tidak Layak,0
2.92,5,Manajemen,Ya,6585123,Buruh,3,Milik Sendiri,Pedesaan,Ya,0,Ya,88,Ada,Tidak,62,17,Tidak,Laki-laki,30,Tidak Layak,0
3.6,5,Manajemen,Tidak,9975718,Petani,5,Kontrak,3T,Ya,2,Ya,72,Tidak,Tidak,82,6,Tidak,Perempuan,92,Tidak Layak,0
2.9,6,Hukum,Tidak,2133762,Pegawai Negeri,4,Menumpang,Pedesaan,Ya,1,Ya,100,Tidak,Tidak,87,1,Tidak,Laki-laki,87,Tidak Layak,0
3.31,8,Manajemen,Tidak,2065160,Wirausaha,2,Milik Sendiri,Perkotaan,Tidak,5,Ya,82,Tidak,Tidak,100,4,Tidak,Perempuan,79,Layak,5614663
2.83,1,Ekonomi,Tidak,1758262,Pedagang,5,Menumpang,Perkotaan,Ya,0,Ya,69,Ada,Tidak,56,14,Tidak,Perempuan,20,Tidak Layak,0
3.78,2,Sastra,Tidak,6428539,Petani,1,Milik Sendiri,Perkotaan,Ya,3,Tidak,98,Tidak,Ya,57,18,Tidak,Perempuan,36,Layak,5363321
3.92,7,Hukum,Tidak,9097975,Tidak Bekerja,5,Kontrak,Pedesaan,Tidak,4,Tidak,93,Ada,Ya,97,7,Tidak,Laki-laki,19,Tidak Layak,0
2.78,2,Sastra,Tidak,7198813,Tidak Bekerja,1,Milik Sendiri,Pedesaan,Ya,0,Ya,79,Tidak,Ya,55,5,Tidak,Perempuan,98,Tidak Layak,0
2.41,7,Kedokteran,Tidak,1581652,Pegawai Negeri,3,Menumpang,Pedesaan,Tidak,3,Ya,79,Ada,Ya,80,4,Tidak,Perempuan,72,Layak,2262758
3.11,7,Teknik Informatika,Tidak,6564842,Tidak Bekerja,4,Kontrak,Pedesaan,Ya,0,Tidak,93,Tidak,Tidak,66,20,Tidak,Laki-laki,8,Tidak Layak,0
3.09,5,Ekonomi,Ya,8073586,Tidak Bekerja,4,Menumpang,Pedesaan,Tidak,1,Tidak,55,Tidak,Tidak,98,9,Tidak,Perempuan,53,Tidak Layak,0
3.1,8,Pertanian,Tidak,3195916,Wirausaha,4,Kontrak,Perkotaan,Ya,0,Tidak,88,Ada,Ya,96,18,Tidak,Perempuan,85,Layak,4655122
3.84,1,Hukum,Tidak,2974414,Karyawan Swasta,3,Milik Sendiri,Perkotaan,Tidak,2,Tidak,50,Tidak,Ya,90,14,Tidak,Laki-laki,4,Tidak Layak,0
3.33,4,Kedokteran,Tidak,9661806,Tidak Bekerja,2,Menumpang,Pedesaan,Ya,1,Tidak,86,Ada,Tidak,73,0,Tidak,Perempuan,64,Tidak Layak,0
3.21,2,Pertanian,Tidak,8150368,Karyawan Swasta,4,Kontrak,Pedesaan,Ya,4,Tidak,71,Ada,Ya,79,13,Tidak,Laki-laki,69,Tidak Layak,0
3.36,7,Ekonomi,Tidak,7839925,Wirausaha,3,Menumpang,Perkotaan,Tidak,0,Tidak,56,Ada,Ya,89,13,Tidak,Laki-laki,81,Tidak Layak,0
2.94,8,Teknik Informatika,Tidak,7557182,Pedagang,2,Kontrak,Pedesaan,Ya,3,Tidak,72,Tidak,Tidak,91,12,Ya,Perempuan,100,Tidak Layak,0
4,4,Sastra,Tidak,4937558,Pegawai Negeri,4,Menumpang,Pedesaan,Tidak,3,Ya,51,Ada,Tidak,83,19,Tidak,Laki-laki,73,Layak,5607266
3.63,4,Ekonomi,Ya,7098776,Tidak Bekerja,1,Menumpang,Pedesaan,Tidak,3,Tidak,61,Tidak,Tidak,83,5,Tidak,Laki-laki,90,Tidak Layak,0
3.72,3,Manajemen,Tidak,7076872,Tidak Bekerja,6,Kontrak,Perkotaan,Ya,2,Ya,55,Ada,Tidak,50,20,Tidak,Laki-laki,3,Tidak Layak,0
3.47,2,Ekonomi,Ya,2690232,Karyawan Swasta,6,Menumpang,Perkotaan,Ya,5,Tidak,69,Ada,Ya,96,12,Tidak,Laki-laki,35,Layak,2695947
3.53,3,Teknik Informatika,Tidak,2235086,Petani,4,Menumpang,3T,Ya,2,Tidak,55,Ada,Tidak,73,6,Tidak,Perempuan,2,Layak,5470745
2.83,2,Pertanian,Tidak,1780314,Pedagang,6,Kontrak,Pedesaan,Ya,3,Tidak,61,Tidak,Ya,61,18,Tidak,Laki-laki,15,Tidak Layak,0
3.3,6,Pendidikan,Tidak,9668459,Petani,2,Menumpang,Perkotaan,Tidak,1,Tidak,84,Ada,Ya,63,11,Tidak,Laki-laki,3,Tidak Layak,0
2.64,6,Hukum,Tidak,2623664,Pegawai Negeri,3,Kontrak,3T,Ya,5,Tidak,68,Tidak,Tidak,77,16,Tidak,Laki-laki,32,Tidak Layak,0
3.31,3,Kedokteran,Tidak,5215786,Karyawan Swasta,1,Menumpang,Perkotaan,Ya,1,Tidak,96,Tidak,Tidak,78,13,Tidak,Perempuan,40,Tidak Layak,0
3.78,2,Ekonomi,Tidak,6420939,Pegawai Negeri,6,Milik Sendiri,Pedesaan,Tidak,4,Ya,76,Tidak,Tidak,75,0,Tidak,Perempuan,54,Tidak Layak,0
2.89,3,Pendidikan,Tidak,4110191,Wirausaha,3,Kontrak,3T,Ya,0,Ya,50,Tidak,Ya,79,18,Tidak,Laki-laki,71,Tidak Layak,0
3.46,2,Ekonomi,Tidak,4059708,Buruh,2,Milik Sendiri,Pedesaan,Tidak,5,Ya,91,Tidak,Tidak,70,10,Tidak,Laki-laki,63,Tidak Layak,0
3.02,8,Teknik Informatika,Tidak,7567188,Petani,1,Kontrak,3T,Ya,3,Ya,51,Tidak,Ya,91,18,Tidak,Perempuan,36,Tidak Layak,0
2.87,3,Ekonomi,Ya,9450091,Buruh,1,Kontrak,Perkotaan,Ya,0,Tidak,76,Tidak,Tidak,70,11,Tidak,Perempuan,63,Tidak Layak,0
3.29,1,Ekonomi,Tidak,8126616,Karyawan Swasta,6,Milik Sendiri,Perkotaan,Tidak,0,Ya,53,Ada,Ya,56,10,Tidak,Perempuan,28,Tidak Layak,0
3.57,3,Manajemen,Ya,6688771,Tidak Bekerja,5,Milik Sendiri,Perkotaan,Tidak,2,Tidak,52,Ada,Ya,69,2,Tidak,Perempuan,34,Tidak Layak,0
2.59,3,Hukum,Tidak,2511612,Pedagang,3,Milik Sendiri,Perkotaan,Tidak,3,Tidak,92,Ada,Ya,86,15,Tidak,Perempuan,41,Tidak Layak,0
3.71,8,Kedokteran,Ya,5469984,Wirausaha,1,Kontrak,Pedesaan,Tidak,5,Tidak,63,Ada,Ya,81,1,Tidak,Laki-laki,59,Tidak Layak,0
2.97,7,Kedokteran,Tidak,6211805,Pedagang,5,Menumpang,Pedesaan,Ya,2,Tidak,91,Ada,Ya,58,7,Tidak,Perempuan,57,Tidak Layak,0
3.27,4,Ekonomi,Ya,5161355,Karyawan Swasta,2,Menumpang,Pedesaan,Tidak,5,Ya,79,Ada,Ya,65,0,Tidak,Laki-laki,34,Tidak Layak,0
3.61,1,Pertanian,Tidak,8094054,Pegawai Negeri,3,Milik Sendiri,Perkotaan,Ya,3,Ya,75,Tidak,Tidak,53,14,Tidak,Laki-laki,6,Tidak Layak,0
3.44,7,Ekonomi,Ya,3678437,Karyawan Swasta,2,Menumpang,Pedesaan,Tidak,4,Tidak,93,Ada,Ya,57,7,Tidak,Laki-laki,73,Layak,4232864
3.13,4,Manajemen,Tidak,5121443,Pedagang,5,Menumpang,Perkotaan,Ya,0,Ya,94,Tidak,Tidak,63,5,Tidak,Perempuan,81,Layak,4415856
3.02,5,Teknik Informatika,Ya,8942968,Wirausaha,5,Kontrak,Perkotaan,Tidak,5,Ya,70,Ada,Ya,61,10,Tidak,Laki-laki,1,Tidak Layak,0
2.91,8,Ekonomi,Tidak,3478208,Pegawai Negeri,1,Milik Sendiri,Perkotaan,Tidak,4,Ya,80,Ada,Tidak,65,15,Tidak,Laki-laki,72,Tidak Layak,0
2.45,5,Kedokteran,Tidak,3306907,Tidak Bekerja,2,Milik Sendiri,3T,Tidak,2,Tidak,97,Tidak,Tidak,92,15,Tidak,Perempuan,1,Tidak Layak,0
3.81,6,Sastra,Tidak,9187763,Tidak Bekerja,6,Menumpang,Pedesaan,Ya,4,Tidak,51,Ada,Tidak,64,4,Tidak,Laki-laki,31,Layak,6845127
3.45,7,Pendidikan,Tidak,1997768,Pedagang,4,Menumpang,3T,Ya,5,Tidak,78,Ada,Tidak,93,11,Tidak,Perempuan,75,Layak,5500518
3.66,5,Sastra,Ya,9225456,Wirausaha,3,Menumpang,3T,Tidak,4,Tidak,100,Tidak,Tidak,57,0,Tidak,Laki-laki,59,Tidak Layak,0
3.08,3,Sastra,Tidak,3228089,Pegawai Negeri,4,Kontrak,3T,Ya,3,Ya,68,Ada,Ya,81,9,Ya,Perempuan,84,Tidak Layak,0
2.64,1,Teknik Informatika,Tidak,6375686,Pegawai Negeri,5,Menumpang,Perkotaan,Ya,0,Tidak,59,Ada,Tidak,87,2,Tidak,Laki-laki,60,Tidak Layak,0
2.73,6,Kedokteran,Tidak,6980045,Karyawan Swasta,4,Milik Sendiri,Perkotaan,Tidak,4,Ya,86,Tidak,Tidak,87,4,Tidak,Laki-laki,32,Tidak Layak,0
2.99,3,Ekonomi,Tidak,5550986,Pegawai Negeri,1,Kontrak,Pedesaan,Tidak,4,Ya,100,Tidak,Ya,58,16,Tidak,Perempuan,64,Tidak Layak,0
3.51,6,Pertanian,Tidak,8327453,Karyawan Swasta,4,Kontrak,3T,Ya,3,Ya,58,Tidak,Ya,87,16,Tidak,Perempuan,6,Tidak Layak,0
3.61,7,Hukum,Tidak,599872,Karyawan Swasta,5,Kontrak,Perkotaan,Ya,2,Tidak,91,Ada,Tidak,88,3,Tidak,Perempuan,88,Layak,4779209
3.12,1,Manajemen,Tidak,9070152,Wirausaha,6,Milik Sendiri,Perkotaan,Ya,4,Tidak,81,Ada,Ya,93,20,Tidak,Perempuan,80,Layak,4607941
2.76,1,Pertanian,Tidak,3867185,Petani,1,Milik Sendiri,3T,Tidak,4,Ya,63,Ada,Tidak,51,16,Tidak,Laki-laki,15,Tidak Layak,0
3.18,5,Ekonomi,Tidak,3587744,Tidak Bekerja,2,Menumpang,Pedesaan,Tidak,3,Tidak,89,Ada,Tidak,59,20,Ya,Laki-laki,95,Tidak Layak,0
3.86,4,Hukum,Tidak,9671785,Pedagang,4,Kontrak,Pedesaan,Tidak,4,Tidak,92,Tidak,Tidak,74,3,Tidak,Perempuan,18,Tidak Layak,0
3.02,1,Sastra,Tidak,9965857,Karyawan Swasta,1,Menumpang,Pedesaan,Tidak,5,Tidak,52,Tidak,Ya,79,14,Tidak,Laki-laki,45,Tidak Layak,0
3.51,4,Pendidikan,Tidak,9308972,Karyawan Swasta,5,Milik Sendiri,3T,Ya,5,Tidak,71,Tidak,Ya,67,9,Tidak,Laki-laki,82,Tidak Layak,0
3.69,8,Ekonomi,Tidak,3526182,Buruh,6,Menumpang,Perkotaan,Ya,1,Tidak,87,Tidak,Tidak,54,1,Ya,Laki-laki,29,Tidak Layak,0
2.81,2,Manajemen,Tidak,8492883,Pegawai Negeri,2,Menumpang,Perkotaan,Ya,1,Tidak,74,Tidak,Ya,53,19,Tidak,Laki-laki,95,Tidak Layak,0
2.84,2,Pertanian,Tidak,994247,Pedagang,3,Milik Sendiri,Perkotaan,Ya,5,Tidak,62,Ada,Tidak,81,14,Tidak,Laki-laki,25,Tidak Layak,0
3.57,3,Ekonomi,Tidak,3726188,Petani,5,Milik Sendiri,Perkotaan,Tidak,1,Ya,58,Ada,Tidak,99,13,Tidak,Laki-laki,43,Tidak Layak,0
2.88,3,Pertanian,Ya,3980849,Buruh,4,Menumpang,Pedesaan,Tidak,4,Tidak,54,Tidak,Tidak,90,12,Tidak,Laki-laki,16,Tidak Layak,0
2.99,5,Manajemen,Ya,4368381,Petani,5,Menumpang,Pedesaan,Ya,2,Tidak,66,Tidak,Tidak,54,5,Tidak,Laki-laki,68,Tidak Layak,0
3.19,4,Sastra,Tidak,1450399,Buruh,6,Milik Sendiri,Pedesaan,Tidak,2,Tidak,52,Tidak,Tidak,66,6,Tidak,Laki-laki,17,Tidak Layak,0
2.23,4,Pendidikan,Tidak,1545698,Pedagang,4,Milik Sendiri,Perkotaan,Ya,4,Tidak,98,Ada,Tidak,54,13,Tidak,Laki-laki,70,Layak,6016226
3.55,3,Sastra,Tidak,2245857,Petani,4,Menumpang,Pedesaan,Ya,3,Ya,64,Ada,Ya,51,6,Tidak,Perempuan,87,Layak,7734411
3.3,1,Pertanian,Ya,6828832,Wirausaha,2,Kontrak,Perkotaan,Ya,0,Tidak,89,Tidak,Tidak,62,10,Tidak,Laki-laki,30,Tidak Layak,0
3.23,4,Manajemen,Tidak,4310540,Karyawan Swasta,6,Menumpang,Pedesaan,Tidak,0,Tidak,65,Ada,Ya,53,4,Tidak,Perempuan,5,Tidak Layak,0
3.52,6,Pendidikan,Tidak,4597740,Pegawai Negeri,2,Menumpang,Pedesaan,Tidak,5,Ya,66,Ada,Tidak,95,11,Tidak,Laki-laki,56,Tidak Layak,0
2.7,5,Pendidikan,Tidak,5410412,Tidak Bekerja,6,Milik Sendiri,Pedesaan,Ya,5,Tidak,56,Ada,Tidak,76,19,Tidak,Laki-laki,26,Tidak Layak,0
3.23,3,Kedokteran,Tidak,9777224,Pedagang,1,Kontrak,Perkotaan,Tidak,0,Tidak,94,Tidak,Tidak,57,0,Tidak,Laki-laki,34,Tidak Layak,0
3.34,5,Ekonomi,Tidak,1917562,Petani,3,Menumpang,Pedesaan,Ya,3,Ya,52,Ada,Ya,74,5,Tidak,Laki-laki,84,Layak,4559767
3.03,1,Pendidikan,Tidak,6140806,Tidak Bekerja,3,Menumpang,Pedesaan,Ya,5,Tidak,77,Tidak,Ya,56,17,Tidak,Perempuan,68,Tidak Layak,0
2.98,8,Ekonomi,Tidak,9205913,Pegawai Negeri,2,Kontrak,Pedesaan,Tidak,1,Ya,50,Tidak,Tidak,55,7,Tidak,Perempuan,43,Tidak Layak,0
3.08,7,Teknik Informatika,Tidak,6568232,Pegawai Negeri,6,Kontrak,Perkotaan,Tidak,4,Ya,69,Tidak,Tidak,61,14,Tidak,Perempuan,1,Tidak Layak,0
3.26,8,Teknik Informatika,Tidak,8556551,Wirausaha,5,Milik Sendiri,Pedesaan,Ya,0,Ya,89,Tidak,Ya,78,5,Tidak,Perempuan,33,Tidak Layak,0
3.37,8,Hukum,Tidak,3427545,Pedagang,5,Menumpang,3T,Ya,0,Ya,82,Tidak,Tidak,52,17,Tidak,Laki-laki,91,Tidak Layak,0
3.56,5,Sastra,Ya,6427978,Buruh,6,Milik Sendiri,Perkotaan,Ya,0,Tidak,57,Ada,Ya,63,10,Tidak,Perempuan,9,Tidak Layak,0
3.21,7,Sastra,Ya,5978441,Buruh,3,Kontrak,Perkotaan,Tidak,2,Tidak,68,Ada,Ya,73,1,Tidak,Laki-laki,75,Layak,2214205
2.91,2,Kedokteran,Tidak,9069737,Wirausaha,6,Menumpang,Perkotaan,Tidak,1,Ya,87,Ada,Ya,74,20,Tidak,Laki-laki,28,Tidak Layak,0
2.92,7,Manajemen,Tidak,9354283,Tidak Bekerja,1,Menumpang,Pedesaan,Ya,3,Ya,62,Tidak,Ya,71,7,Tidak,Perempuan,29,Tidak Layak,0
3,8,Pendidikan,Tidak,2436374,Wirausaha,2,Kontrak,Perkotaan,Tidak,2,Ya,85,Ada,Tidak,91,15,Tidak,Perempuan,100,Layak,5513570
